"","        CSD        ","      non-CSD      ","p.overall"
"clinical:","                   ","                   ","  0.045  "
"    0","    60 (51.3%)     ","    118 (58.1%)    ","         "
"    1","    54 (46.2%)     ","    85 (41.9%)     ","         "
"    2","     3 (2.6%)      ","     0 (0.0%)      ","         "
"ectopic:","                   ","                   ","  0.196  "
"    0","    113 (96.6%)    ","    201 (99.0%)    ","         "
"    1","     4 (3.4%)      ","     2 (1.0%)      ","         "
"mis:","                   ","                   ","  0.582  "
"    0","    109 (93.2%)    ","    190 (93.6%)    ","         "
"    1","     7 (6.0%)      ","     13 (6.4%)     ","         "
"    2","     1 (0.9%)      ","     0 (0.0%)      ","         "
"thai_bam_seo: 0","   117 (100.0%)    ","   203 (100.0%)    ","    .    "
"mul:","                   ","                   ","  0.447  "
"    0","    106 (90.6%)    ","    190 (93.6%)    ","         "
"    1","     11 (9.4%)     ","     13 (6.4%)     ","         "
"nhau_tien_dao:","                   ","                   ","  1.000  "
"    0","    116 (99.1%)    ","    200 (98.5%)    ","         "
"    1","     1 (0.9%)      ","     3 (1.5%)      ","         "
"nhau_cai_rl:","                   ","                   ","  0.366  "
"    0","    116 (99.1%)    ","   203 (100.0%)    ","         "
"    1","     1 (0.9%)      ","     0 (0.0%)      ","         "
"vo_TC: 0","   117 (100.0%)    ","   203 (100.0%)    ","    .    "
"BHSS:","                   ","                   ","  0.133  "
"    0","    115 (98.3%)    ","   203 (100.0%)    ","         "
"    1","     2 (1.7%)      ","     0 (0.0%)      ","         "
"u_dich:","                   ","                   "," <0.001  "
"    0","    81 (69.2%)     ","    194 (95.6%)    ","         "
"    1","    36 (30.8%)     ","     9 (4.4%)      ","         "
"cancel:","                   ","                   ","  0.021  "
"    0","    109 (93.2%)    ","    200 (98.5%)    ","         "
"    1","     8 (6.8%)      ","     3 (1.5%)      ","         "
"time_to_lb","171.0 [156.0;202.8]","162.0 [157.0;187.8]","  0.687  "
"ges","    37.6 (2.0)     ","    37.5 (1.9)     ","  0.929  "
