"","         0         ","         1         ","p.overall"
"    1","     17 (8.2%)     ","     3 (2.7%)      ","         "
"    2","     1 (0.5%)      ","     0 (0.0%)      ","         "
"thai_bam_seo: 0","   207 (100.0%)    ","   113 (100.0%)    ","    .    "
"mul:","                   ","                   "," <0.001  "
"    0","   207 (100.0%)    ","    89 (78.8%)     ","         "
"    1","     0 (0.0%)      ","    24 (21.2%)     ","         "
"nhau_tien_dao:","                   ","                   ","  0.015  "
"    0","   207 (100.0%)    ","    109 (96.5%)    ","         "
"    1","     0 (0.0%)      ","     4 (3.5%)      ","         "
"nhau_cai_rl:","                   ","                   ","  0.353  "
"    0","   207 (100.0%)    ","    112 (99.1%)    ","         "
"    1","     0 (0.0%)      ","     1 (0.9%)      ","         "
"vo_TC: 0","   207 (100.0%)    ","   113 (100.0%)    ","    .    "
"BHSS:","                   ","                   ","  0.124  "
"    0","   207 (100.0%)    ","    111 (98.2%)    ","         "
"    1","     0 (0.0%)      ","     2 (1.8%)      ","         "
"u_dich:","                   ","                   ","  0.225  "
"    0","    182 (87.9%)    ","    93 (82.3%)     ","         "
"    1","    25 (12.1%)     ","    20 (17.7%)     ","         "
"cancel:","                   ","                   ","  1.000  "
"    0","    200 (96.6%)    ","    109 (96.5%)    ","         "
"    1","     7 (3.4%)      ","     4 (3.5%)      ","         "
"time_to_lb","352.0 [352.0;352.0]","162.0 [157.0;189.0]","  0.087  "
"ges","     34.0 (.)      ","    37.6 (1.9)     ","    .    "
